nom_contextuel_unite|localite_unite|num_tph_fixe_unite|num_fax_unite|adresse_code_postal|adresse_geographique_unite|lambert93_x|lambert93_y
Brigade territoriale autonome de Montluel|MONTLUEL|+33 4 78 06 10 24|+33 4 78 06 78 24|01120|892 Route de Jailleux 01120 MONTLUEL|858972|6531041
Brigade territoriale autonome de Miribel|MIRIBEL|+33 4 78 55 30 08||01700|272 Avenue de Saint-Maurice 01700 MIRIBEL|852787|6527534
Brigade territoriale autonome de Meximieux|MEXIMIEUX|+33 4 74 61 02 34||01800|80 Route de Lyon 01800 MEXIMIEUX|869563|6535667
Brigade territoriale autonome d'Ornex|ORNEX|+33 4 50 40 59 30||01210|100 Rue de la Gendarmerie 01210 ORNEX|938894|6578357
Brigade territoriale autonome de Chézery-Forens|CHEZERY FORENS|+33 4 50 56 91 28|+33 4 50 56 93 35|01200|Chemin de la Diamanterie 01200 CHEZERY FORENS|921117|6568701
Brigade territoriale autonome de Bourg-en-Bresse|BOURG EN BRESSE|+33 4 74 45 97 00|+33 4 74 45 97 98|01000|2 Rue de Chateaubriand 01000 BOURG EN BRESSE|872652|6570518
Brigade territoriale autonome de Lamure-sur-Azergues|LAMURE SUR AZERGUES|+33 4 74 03 05 59|+33 4 74 03 08 58|69870|Le bourg 69870 LAMURE SUR AZERGUES|815007|6552191
Brigade territoriale autonome de Tarare|TARARE|+33 4 74 63 00 36|+33 4 74 63 86 39|69170|15 Rue Etienne Dolet 69170 TARARE|811388|6533841
Brigade territoriale autonome du Bois-d'Oingt|LE BOIS D OINGT|+33 4 74 71 60 02|+33 4 74 71 47 06|69620|242 Rue de la Petite-Gare 69620 LE BOIS D OINGT|823061|6537007
Brigade territoriale autonome de Belleville|BELLEVILLE|+33 4 74 69 68 67|+33 4 74 06 45 98|69220|81 Boulevard Rosselli 69220 BELLEVILLE|834000|6558019
Brigade territoriale autonome d'Anse|ANSE|+33 4 74 67 02 17|+33 4 74 67 27 58|69480|947 Avenue de l'Europe 69480 ANSE|832701|6539146
Brigade territoriale autonome de Villefranche-sur-Saône|VILLEFRANCHE SUR SAONE|+33 4 74 65 26 00|+33 4 74 02 79 05|69400|Caserne BONNIN 363 Avenue Joseph Balloffet 69400 VILLEFRANCHE SUR SAONE|832377|6545350
Brigade territoriale autonome de Mornant|MORNANT|+33 4 78 44 00 64|+33 4 78 44 98 38|69440|1 Rue Louis Guillaumond 69440 MORNANT|830764|6503562
Brigade territoriale autonome de Saint-Symphorien-d'Ozon|ST SYMPHORIEN D OZON|+33 4 78 02 71 20|+33 4 78 02 53 08|69360|29 Avenue des Portes de Lyon 69360 ST SYMPHORIEN D OZON|844593|6505864
Brigade territoriale autonome de Vaugneray|VAUGNERAY|+33 4 78 45 80 21|+33 4 78 45 79 48|69670|7 Rue des Ecoles 69670 VAUGNERAY|828980|6516430
Brigade territoriale autonome de Saint-Symphorien-sur-Coise|ST SYMPHORIEN SUR COISE|+33 4 78 48 40 20||69590|Boulevard de la Bardière 69590 ST SYMPHORIEN SUR COISE|813689|6504410
Brigade territoriale autonome de Saint-Laurent-de-Chamousset|ST LAURENT DE CHAMOUSSET|+33 4 74 70 50 17|+33 4 74 70 59 98|69930|Route de Sainte-Foy-l'Argentière 69930 ST LAURENT DE CHAMOUSSET|814064|6515644
Brigade territoriale autonome de l'Arbresle|L ARBRESLE|+33 4 74 01 22 22|+33 4 74 72 05 78|69210|490 Avenue André Lassagne 69210 L ARBRESLE|824930|6527267
Brigade territoriale autonome de Corbas|CORBAS|+33 4 72 50 99 64||69960|48 Rue de l'Aviation 69960 CORBAS|848240|6509240
Brigade territoriale autonome de Saint-Laurent-de-Mure|ST LAURENT DE MURE|+33 4 78 40 80 02|+33 4 72 48 64 08|69720|2 Rue Georges Polossat 69720 ST LAURENT DE MURE|859233|6512300
Brigade territoriale autonome de Saint-Genis-Laval|ST GENIS LAVAL|+33 4 78 56 03 00|+33 4 78 56 92 58|69230|109 Avenue Maréchal Foch 69230 ST GENIS LAVAL|838830|6511003
Brigade territoriale autonome de Neuville-sur-Saône|NEUVILLE SUR SAONE|+33 4 78 91 30 45|+33 4 72 08 36 28|69250|5 Chemin du Georgeat 69250 NEUVILLE SUR SAONE|842905|6531456
Brigade territoriale autonome de Limonest|LIMONEST|+33 4 78 35 80 77|+33 4 78 66 89 38|69760|108 Avenue du Général de Gaulle 69760 LIMONEST|837499|6527947
Brigade territoriale autonome de Dardilly|DARDILLY|+33 4 78 35 20 20|+33 4 37 49 64 59|69570|35 Avenue de Verdun 69570 DARDILLY|835961|6525222
Brigade territoriale autonome de Lyon|LYON 02|+33 4 78 92 78 65|+33 4 78 92 78 64|69002|Caserne Général de Division Delfosse 2 Rue Bichat 69002 LYON 02|841446|6518050
Brigade territoriale autonome de Puylaurens|PUYLAURENS|+33 5 63 70 83 00|+33 5 63 70 83 04|81700|Route de Revel 81700 PUYLAURENS|619969|6275360
Brigade territoriale autonome de Francheville|FRANCHEVILLE|+33 4 78 59 40 40|+33 4 72 16 35 29|69340|10 bis Chemin de Torey 69340 FRANCHEVILLE|836466|6518110
Brigade territoriale autonome de Graulhet|GRAULHET|+33 5 63 34 17 17|+33 5 63 34 17 19|81300|42 Place Bosquet 81300 GRAULHET|618254|6296692
Brigade territoriale autonome de Loures-Barousse|LOURES BAROUSSE|+33 5 62 99 20 02||65370|4 Allée Alfred Lafforgue 65370 LOURES BAROUSSE|504930|6216804
Brigade territoriale autonome de Bagnères-de-Bigorre|BAGNERES DE BIGORRE|+33 5 62 95 60 10|+33 5 62 95 60 20|65200|1 Boulevard de l'Adour 65200 BAGNERES DE BIGORRE|467284|6223542
Brigade territoriale autonome de Luz-Saint-Sauveur|LUZ ST SAUVEUR|+33 5 62 92 80 01||65120|3 Avenue Maoubési 65120 LUZ ST SAUVEUR|454362|6201820
Brigade territoriale autonome de Figeac|FIGEAC|+33 5 65 50 73 73|+33 5 65 50 46 00|46100|Place du 12 Mai 1944 46100 FIGEAC|622964|6390647
Brigade territoriale autonome d'Auch|AUCH|+33 5 62 60 50 00|+33 5 62 60 50 69|32000|Caserne Général Lagrange 2 Rue Jean de la Fontaine 32000 AUCH|505942|6285318
Brigade territoriale autonome de Villefranche-de-Rouergue|VILLEFRANCHE DE ROUERGUE|+33 5 65 65 19 40|+33 5 65 65 19 53|12200|Caserne Capitaine Guillon Place Louis Fontanges 12200 VILLEFRANCHE DE ROUERGUE|622717|6362121
Brigade territoriale autonome de Saverdun|SAVERDUN|+33 5 61 60 30 17|+33 5 61 60 39 48|09700|Caserne Gendarme Saint-Martin 1076 Route d'Espagne 09700 SAVERDUN|585257|6237984
Brigade territoriale autonome de Mirepoix|MIREPOIX|+33 5 61 68 10 17||09500|Avenue Gabriel Fauré 09500 MIREPOIX|607405|6221693
Brigade territoriale autonome de Lézat-sur-Lèze|LEZAT SUR LEZE|+33 5 61 69 10 18|+33 5 61 69 77 29|09210|1 Route de Castagnac 09210 LEZAT SUR LEZE|565876|6242629
Brigade territoriale autonome de Tarascon-sur-Ariège|TARASCON SUR ARIEGE|+33 5 61 05 60 17|+33 5 61 05 85 61|09400|9 Rue de Berga 09400 TARASCON SUR ARIEGE|585716|6194966
Brigade territoriale autonome de Lavelanet|LAVELANET|+33 5 61 01 00 17|+33 5 61 01 77 10|09300|5 bis Avenue Léon Blum 09300 LAVELANET|605084|6203586
Brigade territoriale autonome de Muret|MURET|+33 5 34 46 33 00|+33 5 34 46 33 29|31600|79 Avenue des Pyrénées 31600 MURET|564007|6262841
Brigade territoriale autonome de Portet-sur-Garonne|PORTET SUR GARONNE|+33 5 62 20 70 40|+33 5 62 20 70 49|31120|119 Ancienne route Impériale 31120 PORTET SUR GARONNE|570510|6270548
Brigade territoriale autonome de Léguevin|LEGUEVIN|+33 5 61 07 19 50|+33 5 61 07 19 59|31490|20 Allée des Cordeliers 31490 LEGUEVIN|559278|6279656
Brigade territoriale autonome de la Courtine|LA COURTINE|+33 5 55 66 76 18||23100|Rue du 8 Mai 1945 23100 LA COURTINE|642447|6511827
Brigade territoriale autonome de Tulle|TULLE|+33 5 55 21 51 11|+33 5 55 21 50 51|19000|Caserne Lovy 15 Rue de la Botte 19000 TULLE|603989|6464662
Brigade territoriale autonome de Saint-Léonard-de-Noblat|ST LEONARD DE NOBLAT|+33 5 55 56 00 30|+33 5 55 56 12 79|87400|Cité d'Augeres 87400 ST LEONARD DE NOBLAT|582968|6528336
Brigade territoriale autonome d'Ambazac|AMBAZAC|+33 5 55 56 60 16|+33 5 55 56 11 44|87240|1 Rue Vincent Van Gogh 87240 AMBAZAC|575726|6539797
Brigade territoriale autonome de Bressuire|BRESSUIRE|+33 5 49 65 00 01||79300|Caserne Gendarme Haussy 17 Rue du Docteur Fleming 79300 BRESSUIRE|434283|6643520
Brigade territoriale autonome de Saujon|SAUJON|+33 5 46 02 80 17||17600|1 Rue Jean Jaurès 17600 SAUJON|394600|6515621
Brigade territoriale autonome de Pons|PONS|+33 5 46 94 00 07|+33 5 46 94 79 61|17800|97 Avenue Gambetta 17800 PONS|423505|6504852
Brigade territoriale autonome de Saint-Agnant|ST AGNANT|+33 5 46 83 30 04|+33 5 46 83 20 20|17620|1 Allée René Fonck 17620 ST AGNANT|393309|6537633
Brigade territoriale autonome de Marennes|MARENNES|+33 5 46 85 00 19|+33 5 46 85 76 29|17320|9 bis Rue Victor Hugo 17320 MARENNES|381064|6532896
Brigade territoriale autonome de Saint-Martin-de-Ré|ST MARTIN DE RE|+33 5 46 09 21 17||17410|1 Avenue de la Plage 17410 ST MARTIN DE RE|364029|6575894
Brigade territoriale autonome d'Hiersac|HIERSAC|+33 5 45 96 90 03||16290|Route de Châteauneuf 16290 HIERSAC|466481|6511884
Brigade territoriale autonome de Cognac|COGNAC|+33 5 45 82 01 86||16100|57 Rue de Bellefonds 16100 COGNAC|441177|6515434
Brigade territoriale autonome de Lille|LILLE|+33 3 20 16 96 96|+33 3 20 16 96 62|59000|49 Boulevard Louis XIV 59000 LILLE|705255|7059109
Brigade territoriale autonome d'Angoulême|ANGOULEME|+33 5 45 37 50 00|+33 5 45 37 50 93|16000|Caserne Adjudant Levasseur 2 Boulevard de l'Artillerie 16000 ANGOULEME|479889|6510453
Brigade territoriale autonome de Civray|CIVRAY|+33 5 49 87 00 32|+33 5 49 87 47 17|86400|2A Route de Limoges 86400 CIVRAY|491693|6565696
Brigade territoriale autonome de Jaunay-Clan|JAUNAY CLAN|+33 5 49 61 65 28|+33 5 49 61 65 31|86130|Rue de Grémont 86130 JAUNAY CLAN|498708|6622875
Brigade territoriale autonome d'Orthez|ORTHEZ|+33 5 59 67 27 00|+33 5 59 67 27 12|64300|2 Rue Selkirk 64300 ORTHEZ|394619|6273918
Brigade territoriale autonome d'Oloron-Sainte-Marie|OLORON STE MARIE|+33 5 59 39 04 17|+33 5 59 36 33 25|64400|14 Rue Adoue 64400 OLORON STE MARIE|406408|6238725
Brigade territoriale autonome de Bayonne|BAYONNE|+33 5 59 42 53 10|+33 5 59 42 53 19|64100|9 Avenue Vital Biraben 64100 BAYONNE|337367|6274458
Brigade territoriale autonome de Marseille|MARSEILLE 10|+33 4 91 16 39 30|+33 4 91 20 78 36|13010|Quartier Beauvau 171 Avenue de Toulon 13010 MARSEILLE 10|892842|6246845
Brigade territoriale autonome de Marmande|MARMANDE|+33 5 53 64 83 00|+33 5 53 64 83 05|47200|40 Boulevard Meyniel 47200 MARMANDE|474460|6382311
Brigade territoriale autonome de Mimizan|MIMIZAN|+33 5 58 09 93 00|+33 5 58 09 93 04|40200|1 Rue du Lycée 40200 MIMIZAN|362690|6354097
Brigade territoriale autonome de Dax|DAX|+33 5 58 90 76 00|+33 5 58 90 76 09|40100|29 Rue de l'Epargne 40100 DAX|374349|6298169
Brigade territoriale autonome de Mont-de-Marsan|MONT DE MARSAN|+33 5 58 05 07 80|+33 5 58 05 07 78|40000|1908 Avenue du Maréchal Juin 40000 MONT DE MARSAN|421424|6318289
Brigade territoriale autonome de Saint-Astier|ST ASTIER|+33 5 53 03 81 40|+33 5 53 03 81 49|24110|33 Rue Paul Bert 24110 ST ASTIER|505459|6452294
Brigade territoriale autonome de Villegouge|VILLEGOUGE|+33 5 57 84 86 50|+33 5 57 84 86 53|33141|5 Route des Acacias 33141 VILLEGOUGE|438779|6436125
Brigade territoriale autonome de Guîtres|GUITRES|+33 5 57 56 40 35||33230|60 Avenue de l'Isle 33230 GUITRES|449356|6443370
Brigade territoriale autonome de Libourne|LIBOURNE|+33 5 57 50 82 00|+33 5 57 50 82 05|33500|80 Cours Tourny 33500 LIBOURNE|444394|6429166
Brigade territoriale autonome de Macau|MACAU|+33 5 57 88 61 40|+33 5 57 88 61 48|33460|37 Avenue du Général de Gaulle 33460 MACAU|414916|6440652
Brigade territoriale autonome de Castelnau-de-Médoc|CASTELNAU DE MEDOC|+33 5 57 88 60 40|+33 5 57 88 60 48|33480|39 Avenue Georges Mandel 33480 CASTELNAU DE MEDOC|401210|6443543
Brigade territoriale autonome de Lesparre-Médoc|LESPARRE MEDOC|+33 5 56 73 46 70|+33 5 56 73 46 91|33340|32 Cours Victor Hugo 33340 LESPARRE MEDOC|392063|6474777
Brigade territoriale autonome de Saint-André-de-Cubzac|ST ANDRE DE CUBZAC|+33 5 57 94 05 60|+33 5 57 94 05 68|33240|1455 Avenue Jules Ferry 33240 ST ANDRE DE CUBZAC|429842|6439267
Brigade territoriale autonome de Léognan|LEOGNAN|+33 5 56 64 44 60|+33 5 56 64 44 68|33850|9 Avenue de Bordeaux 33850 LEOGNAN|415153|6410405
Brigade territoriale autonome de Tresses|TRESSES|+33 5 57 34 45 00|+33 5 57 34 45 08|33370|21 Avenue des Trois-Lieues 33370 TRESSES|426282|6422661
Brigade territoriale autonome de Castres-Gironde|CASTRES GIRONDE|+33 5 56 67 70 90|+33 5 56 67 70 98|33640|46 Rue du Président Carnot 33640 CASTRES GIRONDE|427397|6405597
Brigade territoriale autonome de Carbon-Blanc|CARBON BLANC|+33 5 57 77 53 10|+33 5 57 77 53 18|33560|19 Avenue André Vignau-Anglade 33560 CARBON BLANC|423320|6427943
Brigade territoriale autonome d'Ambarès-et-Lagrave|AMBARES ET LAGRAVE|+33 5 57 77 32 10|+33 5 57 77 32 18|33440|42 Avenue Jules Ferry 33440 AMBARES ET LAGRAVE|423764|6432010
Brigade territoriale autonome de Saint-Ciers-sur-Gironde|ST CIERS SUR GIRONDE|+33 5 57 32 81 40|+33 5 57 32 81 47|33820|1 Avenue de la République 33820 ST CIERS SUR GIRONDE|416606|6472480
Brigade territoriale autonome de Bourg|BOURG|+33 5 57 94 06 75|+33 5 57 94 06 79|33710|6 Avenue de Flandres-Dunkerque 33710 BOURG|419954|6444457
Brigade territoriale autonome de Blaye|BLAYE|+33 5 57 42 70 20|+33 5 57 42 70 39|33390|56 Rue Jaufré Rudel 33390 BLAYE|412379|6453841
Brigade territoriale autonome de Saint-Médard-en-Jalles|ST MEDARD EN JALLES|+33 5 57 93 15 60|+33 5 57 93 15 68|33160|12 Rue Théophile Gautier 33160 ST MEDARD EN JALLES|408176|6427494
Brigade territoriale autonome de Saint-Jean-d'Illac|ST JEAN D ILLAC|+33 5 56 68 83 70|+33 5 56 68 83 78|33127|315 Avenue de Bordeaux 33127 ST JEAN D ILLAC|401451|6419516
Brigade territoriale autonome de Blanquefort|BLANQUEFORT|+33 5 56 95 51 40|+33 5 56 95 51 48|33290|46 Avenue du Général de Gaulle 33290 BLANQUEFORT|413222|6430501
Brigade territoriale autonome de Biganos|BIGANOS|+33 5 57 17 06 80|+33 5 57 17 06 85|33380|69 Avenue de la Côte-d'Argent Facture 33380 BIGANOS|386071|6401353
Brigade territoriale autonome de Belin-Béliet|BELIN BELIET|+33 5 56 88 82 80|+33 5 56 88 82 85|33830|27 Avenue Aliénor 33830 BELIN BELIET|398775|6384773
Brigade territoriale autonome de Bordeaux|BORDEAUX|+33 5 56 90 47 70|+33 5 56 90 47 78|33000|Caserne Judaïque 200 Rue Judaïque 33000 BORDEAUX|416142|6422182
Brigade territoriale autonome de Saint-Gilles-Croix-de-Vie|ST GILLES CROIX DE VIE|+33 2 51 55 01 19|+33 2 51 55 94 43|85800|9 Rue des Vergers d'Éole 85800 ST GILLES CROIX DE VIE|324919|6632639
Brigade territoriale autonome de Noirmoutier-en-l'Île|NOIRMOUTIER EN L ILE|+33 2 51 39 04 36||85330|7 Rue du Maréchal Joffre 85330 NOIRMOUTIER EN L ILE|302393|6669483
Brigade territoriale autonome de la Mothe-Achard|LA MOTHE ACHARD|+33 2 51 38 60 10||85150|151 Avenue Georges Clémenceau 85150 LA MOTHE ACHARD|343800|6623835
Brigade territoriale autonome de l'Île-d'Yeu|L ILE D YEU|+33 2 51 58 30 05|+33 2 51 58 47 56|85350|4 Rue Dugay-Trouin 85350 L ILE D YEU|291492|6638067
Brigade territoriale autonome de Guebwiller|GUEBWILLER|+33 3 89 28 02 10|+33 3 89 28 02 15|68500|13 Rue Saint Michel 68500 GUEBWILLER|1014067|6764777
Brigade territoriale autonome de Fontenay-le-Comte|FONTENAY LE COMTE|+33 2 28 13 03 30|+33 2 28 13 03 59|85200|Avenue du Général de Gaulle 85200 FONTENAY LE COMTE|407487|6602733
Brigade territoriale autonome du Poiré-sur-Vie|LE POIRE SUR VIE|+33 2 51 31 82 34|+33 2 51 31 82 26|85170|2 Rue de la Lisière 85170 LE POIRE SUR VIE|357036|6639083
Brigade territoriale autonome de Mortagne-sur-Sèvre|MORTAGNE SUR SEVRE|+33 2 51 65 00 21|+33 2 51 65 51 73|85290|2A Rue des Violettes 85290 MORTAGNE SUR SEVRE|400450|6661961
Brigade territoriale autonome de Sablé-sur-Sarthe|SABLE SUR SARTHE|+33 2 43 95 00 17|+33 2 43 95 93 50|72300|1 Rue des Anciens Combattants Afrique du Nord 72300 SABLE SUR SARTHE|449159|6753924
Brigade territoriale autonome de la Flèche|LA FLECHE|+33 2 43 94 00 17|+33 2 43 94 56 45|72200|6 Rue Fernand Guillot 72200 LA FLECHE|469530|6737403
Brigade territoriale autonome de Laval|LAVAL|+33 2 43 59 57 10|+33 2 43 59 57 66|53000|61 Allée des français libres 53000 LAVAL|418193|6779993
Brigade territoriale autonome de Beaupréau|BEAUPREAU|+33 2 41 63 61 80|+33 2 41 63 61 78|49600|9 Rue de la Sablière 49600 BEAUPREAU|398227|6686161
Brigade territoriale autonome de Beaufort-en-Vallée|BEAUFORT EN VALLEE|+33 2 41 79 17 17|+33 2 41 79 17 19|49250|5 Route des Marillères 49250 BEAUFORT EN VALLEE|455803|6709592
Brigade territoriale autonome de Savenay|SAVENAY|+33 2 40 58 33 17|+33 2 40 58 33 31|44260|1 Place du Prince-Bois 44260 SAVENAY|327568|6707334
Brigade territoriale autonome de Montoir-de-Bretagne|MONTOIR DE BRETAGNE|+33 2 40 45 50 17|+33 2 40 45 44 87|44550|25 Rue Jules Verne 44550 MONTOIR DE BRETAGNE|311950|6704405
Brigade territoriale autonome de Couëron|COUERON|+33 2 40 86 12 17|+33 2 40 86 58 78|44220|177 Boulevard de la Libération 44220 COUERON|344613|6689858
Brigade territoriale autonome de Saint-Nazaire|ST NAZAIRE|+33 2 40 70 55 00|+33 2 40 70 71 05|44600|79 Avenue Ferdinand de Lesseps 44600 ST NAZAIRE|305783|6698986
Brigade territoriale autonome de Nort-sur-Erdre|NORT SUR ERDRE|+33 2 40 72 10 17|+33 2 40 72 12 61|44390|17 Rue François Dupas 44390 NORT SUR ERDRE|361000|6713594
Brigade territoriale autonome de Vertou|VERTOU|+33 2 40 34 41 17|+33 2 40 34 93 55|44120|85 Boulevard de l'Europe 44120 VERTOU|361455|6684302
Brigade territoriale autonome de Rezé|REZE|+33 2 40 75 65 26|+33 2 40 75 80 55|44400|4 Rue Pierre Brossolette 44400 REZE|355652|6686099
Brigade territoriale autonome de Carquefou|CARQUEFOU|+33 2 40 50 87 17|+33 2 40 50 93 42|44470|2 Rue Louis Armand 44470 CARQUEFOU|360972|6698018
Brigade territoriale autonome de Sainte-Luce-sur-Loire|STE LUCE SUR LOIRE|+33 2 51 13 39 90|+33 2 51 13 39 99|44980|20 Route de Thouaré-sur-Loire 44980 STE LUCE SUR LOIRE|362635|6693695
Brigade territoriale autonome de Nantes|NANTES|+33 2 28 08 85 73||44000|Caserne Richemont 13 Rue de la Mitrie 44000 NANTES|356977|6690506
Brigade territoriale autonome de Beaumont-Hague|BEAUMONT HAGUE|+33 2 33 01 89 30|+33 2 33 01 89 32|50440|28 Rue d'Aurigny 50440 BEAUMONT HAGUE|350370|6962354
Brigade territoriale autonome d'Avranches|AVRANCHES|+33 2 33 89 26 30|+33 2 33 89 27 23|50300|9 Place Patton 50300 AVRANCHES|379492|6851243
Brigade territoriale autonome de Carentan|CARENTAN|+33 2 33 71 73 30|+33 2 33 71 73 32|50500|32 Route d'Auvers 50500 CARENTAN|390531|6919463
Brigade territoriale autonome de Falaise|FALAISE|+33 2 31 41 65 50|+33 2 31 41 65 72|14700|1 Rue de la Rosée 14700 FALAISE|465265|6871812
Brigade territoriale autonome de Bayeux|BAYEUX|+33 2 31 51 12 20|+33 2 31 51 12 38|14400|49 Avenue Conseil 14400 BAYEUX|429504|6915124
Brigade territoriale autonome de Troarn|TROARN|+33 2 31 15 07 28|+33 2 31 15 07 30|14670|67 Rue de Rouen 14670 TROARN|468117|6902747
Brigade territoriale autonome d'Ouistreham|OUISTREHAM|+33 2 31 36 22 70|+33 2 31 36 22 72|14150|62 Avenue du Maréchal Foch 14150 OUISTREHAM|462966|6913851
Brigade territoriale autonome de Douvres-la-Délivrande|DOUVRES LA DELIVRANDE|+33 2 31 08 35 73|+33 2 31 08 35 75|14440|1 Avenue des Hautes Devises 14440 DOUVRES LA DELIVRANDE|453539|6915011
Brigade territoriale autonome de Groix|GROIX|+33 2 97 86 81 17|+33 2 97 86 69 02|56590|5 Rue Francis Stéphant 56590 GROIX|216445|6746628
Brigade territoriale autonome du Palais|LE PALAIS|+33 2 97 31 80 22|+33 2 97 31 46 16|56360|Résidence Les Glacis 56360 LE PALAIS|235608|6712544
Brigade territoriale autonome d'Auray|AURAY|+33 2 97 24 17 17|+33 2 97 24 38 25|56400|2 Rue de la Forêt 56400 AURAY|251602|6747129
Brigade territoriale autonome de Lesneven|LESNEVEN|+33 2 98 83 00 40|+33 2 98 83 06 08|29260|1 Rue Georges Roudaut 29260 LESNEVEN|161106|6854868
Brigade territoriale autonome de Landerneau|LANDERNEAU|+33 2 98 85 00 82|+33 2 98 85 69 59|29800|14 Rue Henri Dunant 29800 LANDERNEAU|164193|6841850
Brigade territoriale autonome de Fouesnant|FOUESNANT|+33 2 98 56 00 11||29170|2 Route de Bénodet 29170 FOUESNANT|175774|6777518
Brigade territoriale autonome de Douarnenez|DOUARNENEZ|+33 2 98 92 01 22||29100|43 Rue Dugay-Trouin 29100 DOUARNENEZ|154943|6802091
Brigade territoriale autonome de Perros-Guirec|PERROS GUIREC|+33 2 96 23 20 17|+33 2 96 23 33 33|22700|45 Rue des Frères Le Montréer 22700 PERROS GUIREC|226871|6876252
Brigade territoriale autonome de Guingamp|GUINGAMP|+33 2 96 43 71 14|+33 2 96 43 76 26|22200|13 Rue de la Trinité 22200 GUINGAMP|246967|6846545
Brigade territoriale autonome de Matignon|MATIGNON|+33 2 96 41 07 17|+33 2 96 41 26 78|22550|13 Rue du Pont-Brûlé 22550 MATIGNON|310402|6846301
Brigade territoriale autonome de Quintin|QUINTIN|+33 2 96 74 80 17|+33 2 96 74 83 80|22800|8 Rue de Moncontour 22800 QUINTIN|263703|6827592
Brigade territoriale autonome de Pléneuf-Val-André|PLENEUF VAL ANDRE|+33 2 96 72 22 18|+33 2 96 72 22 89|22370|3 Rue de la Boulaie 22370 PLENEUF VAL ANDRE|291792|6846679
Brigade territoriale autonome de Paimpol|PAIMPOL|+33 2 96 20 80 17|+33 2 96 20 80 74|22500|2 Rue Jean Moulin 22500 PAIMPOL|256532|6869503
Brigade territoriale autonome de Lamballe|LAMBALLE|+33 2 96 31 00 17|+33 2 96 31 39 89|22400|17 Rue des Olympiades 22400 LAMBALLE|293982|6833668
Brigade territoriale autonome de Janzé|JANZE|+33 2 99 47 03 18|+33 2 99 47 55 66|35150|34 Rue de Rennes 35150 JANZE|363705|6772019
Brigade territoriale autonome de Pleurtuit|PLEURTUIT|+33 2 99 88 41 42||35730|58 Rue de Dinan 35730 PLEURTUIT|327048|6842456
Brigade territoriale autonome de Guichen|GUICHEN|+33 2 99 57 01 02||35580|70 Rue du Général Leclerc 35580 GUICHEN|342140|6773641
Brigade territoriale autonome de Redon|REDON|+33 2 99 72 16 28|+33 2 99 72 58 49|35600|6 Rue de La Riaudaie 35600 REDON|320689|6741252
Brigade territoriale autonome de Mordelles|MORDELLES|+33 2 99 60 40 12|+33 2 99 60 58 91|35310|91 Avenue du Maréchal Leclerc 35310 MORDELLES|340046|6786321
Brigade territoriale autonome de Liffré|LIFFRE|+33 2 99 68 31 02|+33 2 99 68 61 14|35340|Place de la République 35340 LIFFRE|365181|6800037
Brigade territoriale autonome de Bruz|BRUZ|+33 2 99 52 61 06||35170|8 Avenue du Général de Gaulle 35170 BRUZ|346442|6779889
Brigade territoriale autonome de Pont-de-l'Arche|PONT DE L ARCHE|+33 2 35 23 00 17|+33 2 35 23 13 12|27340|Chemin du Becquet 27340 PONT DE L ARCHE|565100|6913168
Brigade territoriale autonome de Gaillon|GAILLON|+33 2 32 53 00 17|+33 2 32 53 15 14|27600|4 Rue Jean Moulin 27600 GAILLON|578574|6896961
Brigade territoriale autonome de Louviers|LOUVIERS|+33 2 32 40 19 17|+33 2 32 40 93 37|27400|22 Rue de la République 27400 LOUVIERS|566384|6903163
Brigade territoriale autonome d'Écos|ECOS|+33 2 32 52 01 17|+33 2 32 52 98 67|27630|Quartier Le Réquignard 27630 ECOS|598256|6896154
Brigade territoriale autonome des Andelys|LES ANDELYS|+33 2 32 54 03 17|+33 2 32 54 79 18|27700|21 Rue de la Libération 27700 LES ANDELYS|584660|6906254
Brigade territoriale autonome de Pacy-sur-Eure|PACY SUR EURE|+33 2 32 36 00 17|+33 2 32 36 70 57|27120|1 Rue René Prin 27120 PACY SUR EURE|582195|6880513
Brigade territoriale autonome d'Yvetot|YVETOT|+33 2 35 95 00 17|+33 2 35 95 77 68|76190|23 Rue Edmond Labbé 76190 YVETOT|537424|6948817
Brigade territoriale autonome de Saint-Romain-de-Colbosc|ST ROMAIN DE COLBOSC|+33 2 35 20 50 13|+33 2 35 20 60 88|76430|49 Avenue du Maréchal de Lattre de Tassigny 76430 ST ROMAIN DE COLBOSC|508271|6940195
Brigade territoriale autonome de Boos|BOOS|+33 2 35 80 21 03|+33 2 35 80 87 09|76520|193 Route de Rouen 76520 BOOS|569106|6922705
Brigade territoriale autonome de Rouen|ROUEN|+33 2 35 07 89 50|+33 2 35 07 89 66|76000|Caserne Mdc Crosnier 39 Rue Louis Ricard 76000 ROUEN|562177|6929019
Brigade territoriale autonome de Nanteuil-le-Haudouin|NANTEUIL LE HAUDOUIN|+33 3 44 88 34 17|+33 3 44 88 34 19|60440|10 Rue de la Croix-Verte 60440 NANTEUIL LE HAUDOUIN|685237|6893523
Brigade territoriale autonome de Creil|CREIL|+33 3 44 28 47 17|+33 3 44 28 47 19|60100|1 Avenue de la Forêt d'Halatte 60100 CREIL|663321|6906206
Brigade territoriale autonome de Chantilly|CHANTILLY|+33 3 44 57 33 17|+33 3 44 62 83 69|60500|2 Avenue Jacques Bara 60500 CHANTILLY|660094|6897094
Brigade territoriale autonome de Chambly|CHAMBLY|+33 1 30 28 29 17|+33 1 30 28 29 19|60230|468 Avenue des Martyrs 60230 CHAMBLY|645483|6896207
