"Tableau 16. Faits constatés par la police et la gendarmerie, par département de France métropolitaine, en 2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index de l'Etat 4001","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d'Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse-du-Sud","Haute-Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise"
"Autres délits contre santé publique et la réglementation des professions médicales","2.0","22.0","5.0","2.0","0.0","11.0","5.0","0.0","1.0","8.0","2.0","1.0","22.0","1.0","2.0","3.0","7.0","2.0","0.0","3.0","1.0","1.0","4.0","1.0","5.0","2.0","0.0","4.0","3.0","4.0","5.0","5.0","5.0","27.0","5.0","2.0","0.0","0.0","3.0","1.0","5.0","1.0","1.0","0.0","4.0","3.0","1.0","1.0","2.0","5.0","0.0","4.0","2.0","2.0","6.0","11.0","3.0","10.0","1.0","25.0","12.0","0.0","41.0","1.0","3.0","0.0","1.0","55.0","30.0","8.0","2.0","18.0","2.0","1.0","2.0","35.0","4.0","3.0","3.0","0.0","12.0","0.0","3.0","47.0","18.0","5.0","2.0","2.0","101.0","5.0","0.0","4.0","6.0","8.0","2.0","3.0"
"Incendies volontaires de biens publics","30.0","64.0","16.0","19.0","10.0","29.0","33.0","24.0","6.0","17.0","26.0","6.0","192.0","43.0","8.0","10.0","49.0","18.0","12.0","37.0","28.0","5.0","10.0","66.0","87.0","55.0","24.0","91.0","16.0","29.0","97.0","74.0","8.0","60.0","92.0","39.0","11.0","25.0","108.0","11.0","18.0","24.0","79.0","18.0","99.0","37.0","4.0","12.0","3.0","49.0","44.0","41.0","22.0","15.0","86.0","13.0","45.0","123.0","4.0","218.0","68.0","40.0","251.0","32.0","35.0","16.0","23.0","207.0","55.0","180.0","12.0","46.0","30.0","34.0","29.0","77.0","155.0","147.0","68.0","13.0","221.0","41.0","20.0","68.0","60.0","28.0","23.0","18.0","33.0","33.0","14.0","91.0","76.0","87.0","68.0","74.0"
"Incendies volontaires de biens privés","150.0","316.0","50.0","29.0","24.0","377.0","104.0","187.0","18.0","135.0","159.0","19.0","1349.0","301.0","7.0","63.0","170.0","190.0","54.0","287.0","83.0","10.0","64.0","293.0","485.0","227.0","180.0","370.0","73.0","143.0","563.0","908.0","33.0","461.0","340.0","256.0","122.0","296.0","1348.0","52.0","53.0","132.0","774.0","52.0","731.0","353.0","13.0","46.0","5.0","378.0","70.0","725.0","127.0","62.0","435.0","47.0","125.0","638.0","62.0","3105.0","727.0","91.0","1278.0","192.0","182.0","77.0","153.0","1014.0","566.0","1514.0","72.0","221.0","198.0","179.0","187.0","324.0","1167.0","766.0","982.0","48.0","574.0","158.0","96.0","396.0","520.0","121.0","114.0","114.0","107.0","195.0","103.0","871.0","603.0","1572.0","718.0","803.0"
"Attentats à l'explosif contre des biens publics","1.0","0.0","1.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0"
"Attentats à l'explosif contre des biens privés","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","36.0","25.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","4.0","1.0","0.0"
"Autres destructions et dégradations de biens publics","296.0","383.0","195.0","77.0","63.0","422.0","174.0","236.0","70.0","183.0","172.0","113.0","914.0","463.0","64.0","194.0","353.0","194.0","108.0","352.0","322.0","37.0","167.0","433.0","351.0","232.0","224.0","623.0","64.0","90.0","409.0","784.0","41.0","658.0","595.0","541.0","168.0","325.0","733.0","136.0","129.0","179.0","380.0","121.0","926.0","433.0","73.0","124.0","31.0","350.0","380.0","287.0","108.0","108.0","491.0","109.0","373.0","748.0","98.0","1457.0","510.0","163.0","884.0","325.0","285.0","117.0","283.0","890.0","483.0","1764.0","102.0","280.0","296.0","252.0","320.0","1153.0","757.0","852.0","644.0","221.0","544.0","205.0","179.0","342.0","296.0","381.0","182.0","120.0","248.0","287.0","70.0","619.0","742.0","793.0","529.0","647.0"
"Autres destructions et dégradations de biens privés","408.0","829.0","459.0","123.0","165.0","2103.0","169.0","437.0","114.0","442.0","517.0","119.0","5313.0","1507.0","103.0","403.0","943.0","409.0","341.0","882.0","794.0","35.0","329.0","851.0","690.0","470.0","439.0","1791.0","190.0","134.0","985.0","2275.0","88.0","3418.0","2051.0","1714.0","281.0","1040.0","1864.0","157.0","402.0","374.0","1611.0","205.0","2935.0","853.0","99.0","315.0","44.0","879.0","571.0","1732.0","141.0","193.0","1350.0","103.0","1044.0","1903.0","166.0","6935.0","994.0","379.0","3453.0","821.0","1024.0","226.0","680.0","1651.0","1403.0","3831.0","151.0","397.0","651.0","591.0","977.0","6577.0","3701.0","2426.0","3262.0","333.0","804.0","519.0","298.0","1408.0","836.0","603.0","546.0","376.0","393.0","498.0","226.0","2463.0","3427.0","7049.0","3502.0","3269.0"
"Destructions et dégradations de véhicules privés","495.0","827.0","761.0","139.0","189.0","2756.0","183.0","692.0","143.0","721.0","718.0","135.0","4443.0","1751.0","158.0","1062.0","1636.0","637.0","448.0","1080.0","883.0","61.0","378.0","1314.0","714.0","531.0","721.0","1825.0","430.0","187.0","1506.0","2779.0","130.0","3056.0","2091.0","2091.0","205.0","1489.0","1788.0","314.0","404.0","547.0","2316.0","207.0","3305.0","905.0","92.0","439.0","35.0","1233.0","1060.0","2086.0","157.0","257.0","1872.0","194.0","1623.0","2403.0","248.0","9092.0","1318.0","589.0","4183.0","1122.0","1999.0","487.0","529.0","2245.0","1319.0","4945.0","157.0","906.0","684.0","830.0","1161.0","5158.0","4777.0","3556.0","6866.0","510.0","987.0","573.0","315.0","1471.0","1391.0","603.0","854.0","423.0","543.0","916.0","337.0","3548.0","5567.0","8110.0","5261.0","4731.0"
"Infractions aux conditions générales d'entrée et de séjour des étrangers","916.0","97.0","23.0","29.0","274.0","5231.0","44.0","128.0","26.0","93.0","299.0","35.0","3501.0","151.0","8.0","41.0","48.0","97.0","22.0","159.0","23.0","16.0","37.0","583.0","507.0","232.0","167.0","103.0","249.0","353.0","591.0","1415.0","14.0","1776.0","1120.0","534.0","85.0","221.0","757.0","15.0","38.0","57.0","289.0","16.0","1069.0","277.0","9.0","51.0","1.0","219.0","272.0","96.0","48.0","56.0","464.0","26.0","61.0","1537.0","38.0","3573.0","836.0","27.0","2984.0","143.0","2190.0","59.0","4865.0","2178.0","531.0","2431.0","10.0","72.0","81.0","3189.0","1606.0","11190.0","909.0","2559.0","1986.0","27.0","136.0","68.0","59.0","1066.0","758.0","67.0","157.0","192.0","48.0","137.0","77.0","1826.0","3049.0","3502.0","2990.0","3764.0"
"Aide à l'entrée, à la circulation et au séjour des étrangers","122.0","5.0","1.0","0.0","61.0","202.0","0.0","11.0","1.0","2.0","28.0","5.0","133.0","42.0","0.0","0.0","3.0","8.0","1.0","44.0","1.0","2.0","2.0","42.0","27.0","2.0","3.0","1.0","59.0","45.0","25.0","148.0","0.0","54.0","93.0","84.0","2.0","2.0","29.0","3.0","1.0","2.0","5.0","1.0","58.0","54.0","2.0","0.0","0.0","3.0","63.0","4.0","1.0","1.0","94.0","3.0","3.0","186.0","0.0","180.0","156.0","1.0","276.0","27.0","98.0","2.0","119.0","158.0","89.0","87.0","0.0","6.0","1.0","270.0","190.0","68.0","61.0","62.0","64.0","4.0","0.0","2.0","2.0","45.0","81.0","1.0","3.0","33.0","0.0","3.0","0.0","68.0","16.0","51.0","134.0","198.0"
"Autres infractions à la police des étrangers","6.0","16.0","1.0","0.0","5.0","159.0","1.0","11.0","2.0","2.0","19.0","1.0","202.0","31.0","1.0","3.0","5.0","13.0","1.0","3.0","3.0","1.0","3.0","5.0","12.0","1.0","0.0","4.0","3.0","19.0","17.0","128.0","2.0","164.0","71.0","23.0","14.0","1.0","4.0","2.0","3.0","6.0","24.0","4.0","13.0","3.0","1.0","0.0","0.0","21.0","17.0","1.0","2.0","8.0","4.0","0.0","3.0","76.0","3.0","36.0","11.0","0.0","36.0","5.0","50.0","1.0","67.0","46.0","11.0","24.0","0.0","4.0","15.0","2.0","1.0","794.0","22.0","249.0","113.0","3.0","40.0","3.0","6.0","84.0","3.0","4.0","1.0","4.0","3.0","12.0","0.0","149.0","161.0","361.0","262.0","542.0"
"Outrages à dépositaires autorité","197.0","232.0","78.0","59.0","29.0","622.0","114.0","123.0","33.0","155.0","134.0","71.0","1083.0","248.0","28.0","129.0","167.0","67.0","62.0","157.0","142.0","13.0","102.0","162.0","234.0","195.0","215.0","238.0","70.0","68.0","342.0","389.0","43.0","491.0","397.0","274.0","62.0","263.0","545.0","84.0","114.0","107.0","381.0","53.0","388.0","263.0","31.0","106.0","33.0","254.0","172.0","267.0","136.0","59.0","325.0","87.0","165.0","510.0","57.0","1142.0","317.0","129.0","725.0","156.0","176.0","72.0","209.0","504.0","417.0","1264.0","60.0","194.0","205.0","168.0","263.0","2216.0","601.0","754.0","811.0","84.0","251.0","143.0","73.0","576.0","363.0","124.0","171.0","89.0","179.0","191.0","95.0","710.0","861.0","1555.0","784.0","792.0"
"Violences à dépositaires autorité","100.0","172.0","78.0","21.0","29.0","580.0","80.0","72.0","28.0","126.0","105.0","52.0","1329.0","265.0","18.0","84.0","136.0","50.0","44.0","168.0","97.0","10.0","74.0","157.0","185.0","172.0","220.0","193.0","51.0","39.0","233.0","445.0","43.0","407.0","395.0","229.0","47.0","245.0","402.0","57.0","70.0","83.0","239.0","26.0","639.0","252.0","29.0","64.0","16.0","219.0","119.0","262.0","90.0","47.0","320.0","44.0","121.0","352.0","43.0","1076.0","277.0","83.0","513.0","158.0","143.0","40.0","182.0","404.0","312.0","1354.0","42.0","158.0","183.0","94.0","159.0","2666.0","606.0","702.0","858.0","78.0","330.0","99.0","46.0","399.0","206.0","120.0","150.0","109.0","101.0","112.0","48.0","878.0","864.0","1842.0","857.0","849.0"
"Port ou détention armes prohibées","176.0","366.0","155.0","60.0","86.0","773.0","124.0","181.0","55.0","125.0","195.0","128.0","1792.0","221.0","35.0","120.0","212.0","77.0","88.0","342.0","112.0","22.0","105.0","236.0","183.0","140.0","169.0","237.0","142.0","95.0","296.0","519.0","65.0","1038.0","924.0","362.0","79.0","194.0","881.0","93.0","94.0","118.0","246.0","40.0","859.0","244.0","22.0","86.0","27.0","330.0","103.0","454.0","105.0","62.0","440.0","108.0","163.0","568.0","134.0","1692.0","392.0","69.0","562.0","215.0","201.0","85.0","230.0","519.0","384.0","1413.0","81.0","147.0","250.0","157.0","321.0","2842.0","594.0","936.0","860.0","83.0","233.0","94.0","74.0","625.0","314.0","101.0","195.0","116.0","139.0","156.0","109.0","686.0","712.0","1190.0","1054.0","1003.0"
"Atteintes aux intérêts fondamentaux de la Nation","18.0","15.0","7.0","2.0","1.0","3.0","0.0","12.0","5.0","8.0","2.0","3.0","22.0","3.0","1.0","7.0","7.0","5.0","2.0","9.0","2.0","1.0","3.0","9.0","7.0","9.0","3.0","8.0","2.0","1.0","5.0","10.0","0.0","7.0","6.0","7.0","3.0","3.0","9.0","0.0","1.0","4.0","10.0","0.0","13.0","18.0","0.0","5.0","1.0","4.0","1.0","13.0","5.0","5.0","24.0","6.0","3.0","53.0","0.0","55.0","9.0","6.0","22.0","9.0","5.0","3.0","2.0","12.0","21.0","11.0","7.0","4.0","8.0","3.0","4.0","4.0","18.0","6.0","8.0","1.0","9.0","5.0","4.0","21.0","10.0","7.0","9.0","1.0","14.0","7.0","10.0","9.0","1.0","1.0","6.0","11.0"
"Délits des courses et des jeux","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","2.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","5.0","2.0","1.0","0.0","1.0","6.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","222.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","5.0","2.0","0.0","2.0","0.0","0.0","2.0","0.0","0.0","1.0","14.0","2.0","0.0"
"Délits interdiction de séjour et de paraître","7.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","2.0","0.0","0.0","0.0","5.0","5.0","0.0","5.0","1.0","3.0","2.0","0.0","0.0","0.0","3.0","0.0","5.0","1.0","7.0","3.0","6.0","3.0","1.0","2.0","5.0","2.0","1.0","1.0","1.0","4.0","1.0","2.0","3.0","0.0","0.0","2.0","0.0","0.0","0.0","5.0","0.0","1.0","3.0","5.0","5.0","1.0","0.0","3.0","3.0","0.0","1.0","1.0","3.0","3.0","13.0","0.0","0.0","3.0","0.0","0.0","8.0","6.0","13.0","1.0","0.0","0.0","0.0","2.0","6.0","2.0","2.0","1.0","5.0","0.0","6.0","0.0","5.0","29.0","11.0","5.0","14.0"
"Destructions, cruautés et autres délits envers les animaux","25.0","61.0","28.0","13.0","8.0","55.0","9.0","6.0","15.0","15.0","15.0","11.0","73.0","16.0","6.0","15.0","22.0","22.0","13.0","10.0","20.0","6.0","29.0","19.0","24.0","23.0","13.0","19.0","8.0","13.0","45.0","61.0","8.0","54.0","51.0","12.0","4.0","21.0","31.0","11.0","14.0","25.0","26.0","13.0","47.0","16.0","10.0","8.0","6.0","23.0","16.0","28.0","15.0","4.0","22.0","14.0","21.0","33.0","14.0","119.0","48.0","11.0","108.0","36.0","27.0","21.0","18.0","47.0","19.0","35.0","11.0","22.0","15.0","13.0","22.0","43.0","40.0","34.0","33.0","25.0","28.0","22.0","22.0","59.0","37.0","25.0","16.0","15.0","16.0","27.0","6.0","33.0","9.0","24.0","11.0","24.0"
"Atteintes à l'environnement","30.0","23.0","28.0","18.0","11.0","68.0","294.0","6.0","40.0","19.0","28.0","33.0","39.0","27.0","14.0","22.0","22.0","16.0","14.0","21.0","76.0","7.0","11.0","23.0","30.0","10.0","16.0","95.0","59.0","26.0","46.0","48.0","21.0","55.0","60.0","47.0","9.0","31.0","39.0","24.0","25.0","9.0","33.0","11.0","48.0","20.0","14.0","24.0","27.0","24.0","74.0","27.0","9.0","32.0","27.0","8.0","54.0","32.0","8.0","43.0","46.0","31.0","63.0","37.0","26.0","24.0","11.0","69.0","32.0","31.0","13.0","19.0","7.0","25.0","41.0","2.0","22.0","16.0","20.0","28.0","14.0","27.0","14.0","75.0","42.0","34.0","31.0","47.0","10.0","32.0","4.0","47.0","3.0","6.0","7.0","20.0"
"Chasse et pêche","1.0","4.0","2.0","2.0","2.0","20.0","3.0","1.0","1.0","0.0","45.0","4.0","125.0","1.0","3.0","4.0","94.0","1.0","1.0","1.0","20.0","0.0","6.0","4.0","2.0","2.0","2.0","164.0","15.0","24.0","21.0","1.0","0.0","28.0","44.0","71.0","2.0","7.0","2.0","2.0","14.0","1.0","3.0","0.0","67.0","2.0","1.0","2.0","1.0","4.0","147.0","2.0","2.0","5.0","0.0","1.0","66.0","3.0","1.0","14.0","2.0","2.0","56.0","3.0","32.0","5.0","8.0","5.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","60.0","4.0","3.0","2.0","10.0","2.0","2.0","23.0","8.0","49.0","4.0","3.0","3.0","1.0","0.0","1.0","0.0","2.0","3.0","0.0"
"Faux documents d'identité","53.0","8.0","3.0","6.0","9.0","304.0","1.0","10.0","4.0","17.0","30.0","7.0","341.0","44.0","1.0","2.0","10.0","11.0","8.0","24.0","10.0","4.0","8.0","28.0","13.0","23.0","6.0","9.0","27.0","16.0","33.0","81.0","1.0","152.0","85.0","171.0","11.0","53.0","62.0","3.0","3.0","8.0","20.0","2.0","68.0","45.0","4.0","4.0","4.0","16.0","34.0","20.0","4.0","10.0","25.0","2.0","12.0","98.0","6.0","169.0","115.0","6.0","718.0","17.0","73.0","3.0","220.0","79.0","61.0","166.0","0.0","10.0","12.0","366.0","150.0","356.0","107.0","158.0","196.0","11.0","13.0","5.0","3.0","43.0","53.0","15.0","17.0","35.0","1.0","14.0","5.0","189.0","87.0","120.0","222.0","501.0"
"Faux documents concernant la circulation des véhicules","45.0","15.0","8.0","7.0","6.0","51.0","5.0","7.0","13.0","10.0","12.0","13.0","68.0","63.0","3.0","13.0","11.0","11.0","8.0","34.0","7.0","4.0","13.0","32.0","10.0","10.0","23.0","15.0","4.0","8.0","18.0","74.0","7.0","43.0","56.0","48.0","20.0","22.0","47.0","14.0","13.0","12.0","19.0","2.0","91.0","45.0","6.0","9.0","12.0","26.0","26.0","18.0","5.0","9.0","69.0","9.0","15.0","108.0","12.0","171.0","105.0","11.0","37.0","23.0","14.0","13.0","67.0","77.0","69.0","140.0","7.0","22.0","14.0","67.0","67.0","463.0","53.0","137.0","64.0","18.0","12.0","13.0","18.0","58.0","23.0","20.0","22.0","20.0","10.0","16.0","4.0","109.0","98.0","140.0","78.0","172.0"
"Autres faux documents administratifs","27.0","16.0","13.0","7.0","8.0","130.0","16.0","13.0","10.0","8.0","13.0","11.0","101.0","27.0","9.0","25.0","25.0","9.0","12.0","15.0","11.0","5.0","16.0","13.0","23.0","27.0","13.0","33.0","28.0","27.0","47.0","80.0","6.0","77.0","103.0","49.0","5.0","26.0","39.0","15.0","24.0","14.0","25.0","1.0","60.0","56.0","5.0","16.0","4.0","22.0","39.0","26.0","16.0","16.0","27.0","10.0","21.0","41.0","4.0","151.0","35.0","10.0","31.0","43.0","120.0","7.0","167.0","142.0","91.0","109.0","5.0","19.0","13.0","89.0","47.0","189.0","87.0","55.0","82.0","17.0","14.0","12.0","8.0","47.0","31.0","14.0","14.0","12.0","12.0","21.0","6.0","82.0","66.0","143.0","59.0","82.0"
"Faux en écriture publique et authentique","24.0","14.0","5.0","4.0","2.0","54.0","12.0","10.0","10.0","9.0","3.0","2.0","55.0","5.0","5.0","4.0","20.0","9.0","4.0","8.0","12.0","6.0","14.0","17.0","17.0","17.0","1.0","16.0","3.0","6.0","19.0","43.0","6.0","51.0","62.0","15.0","7.0","40.0","47.0","11.0","11.0","9.0","15.0","10.0","21.0","13.0","0.0","5.0","0.0","15.0","4.0","15.0","10.0","6.0","25.0","4.0","17.0","81.0","7.0","109.0","27.0","7.0","38.0","35.0","12.0","4.0","24.0","141.0","33.0","149.0","5.0","8.0","7.0","7.0","20.0","37.0","46.0","25.0","34.0","5.0","20.0","13.0","6.0","86.0","30.0","12.0","6.0","4.0","8.0","7.0","4.0","25.0","15.0","35.0","34.0","54.0"
"Autres faux en écriture","54.0","45.0","39.0","12.0","16.0","154.0","21.0","21.0","17.0","30.0","28.0","15.0","326.0","88.0","11.0","35.0","72.0","20.0","29.0","49.0","44.0","4.0","57.0","42.0","68.0","49.0","27.0","47.0","17.0","23.0","82.0","204.0","24.0","168.0","120.0","56.0","26.0","46.0","120.0","27.0","45.0","63.0","102.0","20.0","121.0","68.0","8.0","31.0","5.0","73.0","26.0","36.0","28.0","16.0","97.0","17.0","35.0","103.0","20.0","206.0","70.0","23.0","110.0","59.0","48.0","23.0","75.0","89.0","52.0","282.0","16.0","37.0","35.0","28.0","73.0","341.0","102.0","184.0","154.0","35.0","56.0","31.0","20.0","164.0","73.0","47.0","27.0","62.0","28.0","48.0","11.0","92.0","204.0","183.0","76.0","173.0"
"Fausse monnaie","12.0","14.0","2.0","3.0","4.0","60.0","10.0","16.0","1.0","12.0","4.0","2.0","31.0","9.0","7.0","14.0","9.0","7.0","4.0","10.0","17.0","1.0","2.0","10.0","14.0","18.0","2.0","7.0","3.0","2.0","8.0","18.0","1.0","19.0","29.0","15.0","0.0","13.0","26.0","10.0","6.0","5.0","21.0","2.0","10.0","7.0","6.0","2.0","4.0","14.0","5.0","7.0","2.0","5.0","16.0","2.0","5.0","13.0","2.0","74.0","11.0","4.0","31.0","6.0","7.0","4.0","7.0","22.0","13.0","43.0","7.0","18.0","2.0","7.0","11.0","157.0","19.0","30.0","59.0","3.0","20.0","6.0","5.0","23.0","11.0","6.0","7.0","6.0","8.0","6.0","3.0","42.0","32.0","64.0","27.0","43.0"
"Contrefaçons et fraudes industrielles et commerciales","15.0","4.0","13.0","1.0","1.0","28.0","3.0","3.0","2.0","3.0","9.0","3.0","46.0","13.0","2.0","20.0","6.0","1.0","2.0","4.0","3.0","0.0","6.0","18.0","7.0","16.0","19.0","72.0","3.0","1.0","21.0","13.0","8.0","24.0","16.0","15.0","1.0","9.0","31.0","5.0","7.0","11.0","32.0","4.0","5.0","29.0","0.0","2.0","0.0","1.0","2.0","6.0","4.0","1.0","11.0","3.0","7.0","67.0","2.0","66.0","26.0","3.0","28.0","13.0","6.0","0.0","2.0","50.0","28.0","139.0","3.0","6.0","9.0","3.0","13.0","248.0","51.0","28.0","63.0","6.0","5.0","1.0","3.0","24.0","7.0","5.0","3.0","4.0","2.0","3.0","2.0","65.0","41.0","120.0","34.0","109.0"
"Contrefaçons littéraires et artistique","3.0","4.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","5.0","4.0","0.0","0.0","2.0","0.0","3.0","1.0","0.0","18.0","0.0","2.0","4.0","0.0","0.0","2.0","0.0","6.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","4.0","0.0","1.0","4.0","0.0","2.0","8.0","2.0","24.0","1.0","1.0","3.0","0.0","0.0","0.0","0.0","4.0","1.0","2.0","0.0","2.0","1.0","0.0","0.0","61.0","1.0","11.0","4.0","0.0","0.0","0.0","0.0","3.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","10.0","6.0","20.0","4.0","6.0"
"Falsification et usages de chèques volés","278.0","760.0","375.0","130.0","174.0","507.0","155.0","155.0","53.0","236.0","222.0","288.0","2362.0","432.0","115.0","571.0","1013.0","176.0","150.0","366.0","448.0","84.0","238.0","910.0","491.0","571.0","251.0","727.0","71.0","279.0","606.0","1029.0","139.0","1210.0","864.0","920.0","206.0","345.0","978.0","160.0","357.0","266.0","517.0","107.0","875.0","697.0","107.0","291.0","104.0","759.0","436.0","684.0","195.0","191.0","645.0","98.0","763.0","739.0","154.0","2266.0","502.0","325.0","1456.0","528.0","854.0","115.0","252.0","310.0","533.0","1777.0","110.0","393.0","413.0","205.0","271.0","3160.0","1536.0","1126.0","1147.0","465.0","479.0","397.0","188.0","766.0","490.0","893.0","402.0","283.0","222.0","332.0","80.0","1156.0","1817.0","1696.0","1144.0","1235.0"
"Falsification et usages de cartes de crédit","272.0","301.0","156.0","115.0","139.0","1715.0","181.0","115.0","33.0","175.0","167.0","99.0","3277.0","103.0","9.0","78.0","433.0","119.0","92.0","417.0","142.0","41.0","187.0","245.0","315.0","248.0","182.0","405.0","57.0","134.0","713.0","1616.0","73.0","458.0","640.0","567.0","108.0","147.0","979.0","174.0","121.0","191.0","455.0","120.0","460.0","433.0","58.0","217.0","89.0","655.0","108.0","305.0","130.0","87.0","355.0","40.0","240.0","315.0","148.0","1748.0","372.0","67.0","624.0","338.0","313.0","158.0","255.0","336.0","244.0","1790.0","92.0","350.0","301.0","699.0","490.0","5233.0","779.0","815.0","1055.0","133.0","279.0","153.0","139.0","1059.0","532.0","239.0","125.0","151.0","155.0","279.0","68.0","1023.0","2105.0","2043.0","1306.0","1645.0"
"Escroqueries et abus de confiances","2069.0","1859.0","729.0","639.0","342.0","3959.0","771.0","810.0","299.0","912.0","994.0","585.0","9883.0","1203.0","156.0","744.0","2342.0","492.0","644.0","1206.0","1236.0","194.0","1016.0","1842.0","1439.0","2289.0","1347.0","1834.0","664.0","595.0","2789.0","5224.0","571.0","3890.0","4405.0","2547.0","592.0","1953.0","2639.0","597.0","1113.0","1247.0","2293.0","420.0","4505.0","2494.0","523.0","1150.0","201.0","2029.0","639.0","2228.0","638.0","693.0","2251.0","491.0","1787.0","3454.0","351.0","7914.0","3089.0","667.0","4209.0","2002.0","1401.0","837.0","1335.0","3110.0","1711.0","5240.0","395.0","1583.0","1129.0","1147.0","2187.0","11321.0","3431.0","4071.0","4299.0","784.0","1608.0","1162.0","879.0","4669.0","2276.0","1408.0","809.0","721.0","1131.0","955.0","389.0","3168.0","6632.0","4961.0","3488.0","6453.0"
