nom_contextuel_unite,localite_unite,num_tph_fixe_unite,num_fax_unite,adresse_code_postal,adresse_geographique_unite,lambert93_x,lambert93_y,latitude,longitude
Brigade territoriale autonome de GrÃ©asque,GREASQUE,+33 4 42 58 80 02,+33 4 42 69 86 98,13850,2 MontÃ©e des Brigoulets 13850 GREASQUE,905886,6262315,"5,541983","43,430115"
Brigade territoriale autonome de Carnoux-en-Provence,CARNOUX EN PROVENCE,+33 4 42 73 73 92,+33 4 42 73 31 49,13470,1 Avenue de Lattre de Tassigny 13470 CARNOUX EN PROVENCE,907282,6242600,"5,551344","43,252448"
Brigade territoriale autonome de Cassis,CASSIS,+33 4 42 01 90 22,+33 4 42 01 88 44,13260,29 Rue de la Ciotat 13260 CASSIS,906734,6238431,"5,542952","43,215125"
Brigade territoriale autonome d'Aubagne,AUBAGNE,+33 4 42 82 90 17,+33 4 42 82 45 88,13400,Caserne Gendarme Alexandre 71 Avenue du 19 Mars 1962 13400 AUBAGNE,908854,6246589,"5,572279","43,287853"
Brigade territoriale autonome d'Arles-Salin-de-Girau,ARLES,+33 4 42 86 82 11,+33 4 42 11 74 59,13200,28 Rue Fernand BenoÃ®t 13200 ARLES,840132,6258454,"4,729424","43,411390"
Brigade territoriale autonome de Saint-RÃ©my-de-Provence,ST REMY DE PROVENCE,+33 4 90 92 00 47,+33 4 90 92 78 28,13210,Avenue du MarÃ©chal Koening 13210 ST REMY DE PROVENCE,846352,6301185,"4,818303","43,794514"
Brigade territoriale autonome de Saint-Martin-de-Crau,ST MARTIN DE CRAU,+33 4 90 47 25 11,,13310,2 Rue de la Laure 13310 ST MARTIN DE CRAU,846460,6283853,"4,814696","43,638574"
Brigade territoriale autonome de Saintes-Maries-de-la-Mer,SAINTES MARIES DE LA MER,+33 4 90 97 80 04,+33 4 90 97 63 18,13460,3 Avenue d'Arles 13460 SAINTES MARIES DE LA MER,815627,6262602,"4,427997","43,453108"
Brigade territoriale autonome de ChÃ¢teaurenard,CHATEAURENARD,+33 4 90 94 38 58,+33 4 90 94 60 74,13160,2 Chemin de l'Oratoire 13160 CHATEAURENARD,849037,6311499,"4,854659","43,886744"
Brigade territoriale autonome d'Arles,ARLES,+33 4 90 52 50 60,+33 4 90 52 50 77,13200,1 Boulevard des Lices 13200 ARLES,831638,6287588,"4,632057","43,675084"
Brigade territoriale autonome de Trets,TRETS,+33 4 42 29 20 09,+33 4 42 29 46 25,13530,52 Avenue mirabeau 13530 TRETS,916855,6264785,"5,678345","43,449063"
Brigade territoriale autonome de Bouc-Bel-Air,BOUC BEL AIR,+33 4 42 22 16 85,,13320,RÃ©sidence Traverse-de-l'Oasis 151 Avenue du 8 Mai 1945 13320 BOUC BEL AIR,896098,6264306,"5,421966","43,450786"
Brigade territoriale autonome de Peyrolles-en-Provence,PEYROLLES EN PROVENCE,+33 4 42 57 80 09,+33 4 42 57 78 74,13860,Chemin de Soutteviers 13860 PEYROLLES EN PROVENCE,907943,6286712,"5,577189","43,648906"
Brigade territoriale autonome de Gardanne,GARDANNE,+33 4 42 58 30 10,+33 4 42 51 70 99,13120,Avenue Maurel Agricol 13120 GARDANNE,900295,6264695,"5,473919","43,453114"
Brigade territoriale autonome d'Aix-en-Provence,AIX EN PROVENCE,+33 4 42 26 31 96,+33 4 42 38 87 66,13100,Quartier des Trois-Sautets 28 Avenue Henri Malacrida 13100 AIX EN PROVENCE,899670,6271577,"5,468861","43,515176"
Brigade territoriale autonome de Gray,GRAY,+33 3 84 65 11 45,+33 3 84 65 25 84,70100,17 Rue Maurice Signard 70100 GRAY,895464,6708201,"5,594199","47,445262"
Brigade territoriale autonome de Lure,LURE,+33 3 84 30 48 00,+33 3 84 30 53 53,70200,12 Rue Pasteur 70200 LURE,962233,6737521,"6,496572","47,685814"
Brigade territoriale autonome de Champagnole,CHAMPAGNOLE,+33 3 84 52 02 17,,39300,1 bis Avenue Jean JaurÃ¨s 39300 CHAMPAGNOLE,922942,6630254,"5,920328","46,735290"
Brigade territoriale autonome de Bavans,BAVANS,+33 3 81 92 69 20,+33 3 81 92 69 28,25550,1 Route de PrÃ©sentevillers 25550 BAVANS,980767,6716495,"6,730110","47,489121"
Brigade territoriale autonome de Bethoncourt,BETHONCOURT,+33 3 81 95 42 42,+33 3 81 95 59 60,25200,1 Rue du Groupe Doubs-Lizaine 25200 BETHONCOURT,985826,6722021,"6,800750","47,536636"
Brigade territoriale autonome de Migennes,MIGENNES,+33 3 86 80 11 17,+33 3 86 80 51 02,89400,18 Avenue Jean JaurÃ¨s 89400 MIGENNES,738771,6762785,"3,519515","47,964306"
Brigade territoriale autonome de Joigny,JOIGNY,+33 3 86 19 34 50,+33 3 86 19 34 56,89300,10 Rue du Maillet-d'Or 89300 JOIGNY,730083,6764701,"3,403233","47,982005"
Brigade territoriale autonome d'Auxerre,AUXERRE,+33 3 86 49 53 00,,89000,33 Rue des Migraines 89000 AUXERRE,742067,6744822,"3,561965","47,802444"
Brigade territoriale autonome de Paray-le-Monial,PARAY LE MONIAL,+33 3 85 81 14 44,+33 3 85 81 95 66,71600,9 Rue des Charmes 71600 PARAY LE MONIAL,784841,6596854,"4,105642","46,466322"
Brigade territoriale autonome de Marcigny,MARCIGNY,+33 3 85 25 04 06,+33 3 85 25 46 71,71110,6 Rue de PrÃ©cy 71110 MARCIGNY,780064,6575454,"4,039724","46,274225"
Brigade territoriale autonome de Digoin,DIGOIN,+33 3 85 53 11 58,,71160,13 Rue de Robinson 71160 DIGOIN,775772,6598263,"3,987698","46,480091"
Brigade territoriale autonome de Sennecey-le-Grand,SENNECEY LE GRAND,+33 3 85 44 81 35,+33 3 85 44 60 90,71240,Rue de la Gendarmerie Lieu-dit La Saule 71240 SENNECEY LE GRAND,843268,6616849,"4,873012","46,636413"
Brigade territoriale autonome d'Ãtang-sur-Arroux,ETANG SUR ARROUX,+33 3 85 82 21 92,+33 3 85 82 43 02,71190,6 Rue de Toulon 71190 ETANG SUR ARROUX,790690,6641084,"4,190545","46,863770"
Brigade territoriale autonome de la Chapelle-de-Guinchay,LA CHAPELLE DE GUINCHAY,+33 3 85 23 94 54,+33 3 85 23 94 58,71570,Aux Gramatys 71570 LA CHAPELLE DE GUINCHAY,835542,6570187,"4,758458","46,217952"
Brigade territoriale autonome de MÃ¢con,MACON,+33 3 85 22 97 10,,71000,196 Rue des Cordiers 71000 MACON,840596,6579688,"4,826854","46,302451"
Brigade territoriale autonome de Fourchambault,FOURCHAMBAULT,+33 3 86 90 77 10,+33 3 86 90 77 24,58600,22 Rue du Pont 58600 FOURCHAMBAULT,706065,6656928,"3,079835","47,012551"
Brigade territoriale autonome de Nuits-Saint-Georges,NUITS ST GEORGES,+33 3 80 62 44 51,+33 3 80 62 44 52,21700,13 Rue Thurot 21700 NUITS ST GEORGES,847734,6672370,"4,949290","47,135187"
Brigade territoriale autonome de Gevrey-Chambertin,GEVREY CHAMBERTIN,+33 3 80 51 80 76,,21220,36 Route de Dijon 21220 GEVREY CHAMBERTIN,849925,6683102,"4,981740","47,231284"
Brigade territoriale autonome de Genlis,GENLIS,+33 3 80 47 98 40,+33 3 80 47 98 42,21110,57 Avenue du GÃ©nÃ©ral de Gaulle 21110 GENLIS,868409,6684186,"5,226347","47,236606"
Brigade territoriale autonome d'Auxonne,AUXONNE,+33 3 80 27 03 60,+33 3 80 27 03 65,21130,2 Rue de Flammerans 21130 AUXONNE,881595,6680666,"5,399147","47,201454"
Brigade territoriale autonome d'Arc-sur-Tille,ARC SUR TILLE,+33 3 80 37 01 23,+33 3 80 37 12 13,21560,28 Rue de Dijon 21560 ARC SUR TILLE,865349,6696120,"5,190290","47,344770"
Brigade territoriale autonome de Langres,LANGRES,+33 3 25 87 00 10,,52200,21 Avenue de Turenne 52200 LANGRES,874519,6752830,"5,333889","47,852650"
Brigade territoriale autonome de Troyes,TROYES,+33 3 25 73 12 22,+33 3 25 73 78 56,10000,20 bis Quai Dampierre 10000 TROYES,779859,6800448,"4,076908","48,299457"
Brigade territoriale autonome de Rethel,RETHEL,+33 3 24 39 57 50,+33 3 24 39 57 87,8300,15 Avenue du GÃ©nÃ©ral de Gaulle 08300 RETHEL,798696,6935856,"4,362384","49,514371"
Brigade territoriale autonome de Vitry-le-FranÃ§ois,VITRY LE FRANCOIS,+33 3 26 74 00 23,+33 3 26 74 87 64,51300,3 Rue de l'Arquebuse 51300 VITRY LE FRANCOIS,816571,6848336,"4,584822","48,724624"
Brigade territoriale autonome de Fismes,FISMES,+33 3 26 48 09 03,+33 3 26 08 37 91,51170,21 Route de Reims 51170 FISMES,750248,6912108,"3,690799","49,306595"
Brigade territoriale autonome de Reims,REIMS,+33 3 26 61 08 00,+33 3 26 61 08 10,51100,2A Rue Bertrand de Mun 51100 REIMS,777288,6906313,"4,061431","49,251806"
Brigade territoriale autonome de Fellering,FELLERING,+33 3 89 82 60 33,,68470,3 Rue de la Gendarmerie 68470 FELLERING,997736,6762172,"6,985787","47,892297"
Brigade territoriale autonome de Cernay,CERNAY,+33 3 89 75 46 04,+33 3 89 75 90 75,68700,11 Avenue Albert Schweitzer 68700 CERNAY,1012864,6753592,"7,181858","47,808143"
Brigade territoriale autonome de Thann,THANN,+33 3 89 37 00 11,+33 3 89 38 34 65,68800,56 Avenue Gubbio 68800 THANN,1007883,6752482,"7,114630","47,800520"
Brigade territoriale autonome de Sierentz,SIERENTZ,+33 3 89 81 53 11,+33 3 89 28 50 45,68510,40 Rue Rogg Haas 68510 SIERENTZ,1034693,6737036,"7,460544","47,648606"
Brigade territoriale autonome d'Illzach,ILLZACH,+33 3 89 52 71 72,+33 3 89 51 37 65,68110,1 Rue de l'Est 68110 ILLZACH,1026062,6751093,"7,356076","47,779265"
Brigade territoriale autonome de Rouffach,ROUFFACH,+33 3 89 49 60 19,+33 3 89 78 55 25,68250,4 Rue de l'Europe 68250 ROUFFACH,1021208,6771083,"7,305906","47,961296"
Brigade territoriale autonome de Sainte-Marie-aux-Mines,STE MARIE AUX MINES,+33 3 89 58 71 05,,68160,1 bis Rue de la Forge 68160 STE MARIE AUX MINES,1011595,6803146,"7,200127","48,254052"
Brigade territoriale autonome de RibeauvillÃ©,RIBEAUVILLE,+33 3 89 73 60 70,,68150,19 Rue du 3 DÃ©cembre 68150 RIBEAUVILLE,1020925,6796771,"7,320945","48,192247"
Brigade territoriale autonome de Neuf-Brisach,NEUF BRISACH,+33 3 89 72 56 87,+33 3 89 72 15 05,68600,9 Rue de Belfort 68600 NEUF BRISACH,1037306,6778125,"7,526651","48,016471"
Brigade territoriale autonome de Munster,MUNSTER,+33 3 89 77 30 51,+33 3 89 77 84 85,68140,42 Rue de Colmar 68140 MUNSTER,1009445,6779318,"7,154318","48,040965"
Brigade territoriale autonome de Soultz-sous-ForÃªts,SOULTZ SOUS FORETS,+33 3 88 80 40 40,,67250,44 Rue FranÃ§ois Antoine Philbert 67250 SOULTZ SOUS FORETS,1056771,6882180,"7,873313","48,940474"
Brigade territoriale autonome de Wissembourg,WISSEMBOURG,+33 3 88 94 01 02,+33 3 88 05 39 05,67160,Quartier Hoche 9 Rue Vauban 67160 WISSEMBOURG,1061787,6892913,"7,950831","49,033996"
Brigade territoriale autonome de Barr,BARR,+33 3 88 08 90 33,+33 3 88 08 82 25,67140,27 Rue du GÃ©nÃ©ral Vandenberg 67140 BARR,1029888,6821331,"7,460029","48,408397"
Brigade territoriale autonome de Wolfisheim,WOLFISHEIM,+33 3 88 78 20 19,+33 3 88 78 90 45,67202,1A Rue d'Oberhausbergen 67202 WOLFISHEIM,1044159,6842309,"7,669284","48,589381"
Brigade territoriale autonome de la Wantzenau,LA WANTZENAU,+33 3 88 96 28 48,+33 3 88 59 23 25,67610,12 Rue des Jonquilles 67610 LA WANTZENAU,1055537,6851365,"7,830781","48,664540"
Brigade territoriale autonome de Brumath,BRUMATH,+33 3 88 51 10 47,+33 3 90 29 14 35,67170,22 Rue AndrÃ© Malraux 67170 BRUMATH,1046279,6858842,"7,711346","48,736697"
Brigade territoriale autonome de Bouxwiller,BOUXWILLER,+33 3 88 70 70 17,+33 3 88 03 32 65,67330,12 Rue d'Uttwiller 67330 BOUXWILLER,1029246,6868594,"7,487645","48,833174"
Brigade territoriale autonome de Wasselonne,WASSELONNE,+33 3 88 87 02 45,+33 3 88 04 21 45,67310,10 Rue du Wangenberg 67310 WASSELONNE,1027868,6846136,"7,451663","48,632207"
Brigade territoriale autonome de Rosheim,ROSHEIM,+33 3 88 50 40 12,+33 3 88 48 04 75,67560,2 Rue des Prunelles 67560 ROSHEIM,1030474,6831140,"7,475443","48,496202"
Brigade territoriale autonome de Molsheim,MOLSHEIM,+33 3 88 04 81 10,+33 3 88 04 81 15,67120,29 Route ECOSPACE 67120 MOLSHEIM,1032685,6835471,"7,508666","48,533969"
Brigade territoriale autonome de Bischwiller,BISCHWILLER,+33 3 88 63 21 52,+33 3 88 06 42 75,67240,2 Rue de l'Artisanat 67240 BISCHWILLER,1055983,6862840,"7,846383","48,767310"
Brigade territoriale autonome de Haguenau,HAGUENAU,+33 3 88 07 41 00,+33 3 88 07 41 05,67500,66 Route de Marienthal 67500 HAGUENAU,1052277,6866525,"7,799099","48,802425"
Brigade territoriale autonome d'Obernai,OBERNAI,+33 3 88 95 51 90,+33 3 88 49 44 35,67210,39 Avenue des RoseliÃ¨res 67210 OBERNAI,1032739,6827404,"7,503168","48,461489"
Brigade territoriale autonome d'Erstein,ERSTEIN,+33 3 88 98 01 45,+33 3 88 98 76 85,67150,1 Rue Victor Schoelcher 67150 ERSTEIN,1043808,6823556,"7,649569","48,421162"
Brigade territoriale autonome de Fegersheim,FEGERSHEIM,+33 3 88 64 22 22,+33 3 88 64 89 74,67640,14 Rue des Lilas 67640 FEGERSHEIM,1045517,6831669,"7,679121","48,493113"
Brigade territoriale autonome de Benfeld,BENFELD,+33 3 88 74 40 42,+33 3 88 58 18 85,67230,1 Rue Joseph Siat 67230 BENFELD,1040445,6818276,"7,600037","48,375512"
Brigade territoriale autonome de Strasbourg,STRASBOURG,+33 3 88 37 52 10,+33 3 88 37 50 96,67100,Caserne Ganeval 2 Rue de Molsheim 67100 STRASBOURG,1049117,6841664,"7,735866","48,580935"
Brigade territoriale autonome de GÃ©rardmer,GERARDMER,+33 3 29 63 30 17,+33 3 29 63 67 65,88400,24 Rue du 152Ã¨me RI 88400 GERARDMER,988206,6781192,"6,870888","48,067515"
Brigade territoriale autonome de Rambervillers,RAMBERVILLERS,+33 3 29 65 00 17,+33 3 29 66 65 76,88700,1 Avenue du 17Ã¨me BCP 88700 RAMBERVILLERS,969280,6810436,"6,635133","48,338444"
Brigade territoriale autonome de Charmes,CHARMES,+33 3 29 38 90 17,+33 3 29 38 54 35,88130,30 Avenue du GÃ©nÃ©ral de Gaulle 88130 CHARMES,944348,6813752,"6,300846","48,378097"
Brigade territoriale autonome de BruyÃ¨res,BRUYERES,+33 3 29 50 10 17,+33 3 29 58 01 95,88600,20 Rue PoincarÃ© 88600 BRUYERES,975767,6797006,"6,714055","48,215024"
Brigade territoriale autonome d'Ãpinal,EPINAL,+33 3 29 33 17 17,+33 3 29 33 17 34,88000,8 Rue du Professeur Roux 88000 EPINAL,955149,6791999,"6,433803","48,178411"
Brigade territoriale autonome de Commercy,COMMERCY,+33 3 29 91 43 33,+33 3 29 91 85 57,55200,10 Rue Gaston ThiÃ©baut 55200 COMMERCY,890253,6854632,"5,588780","48,763720"
Brigade territoriale autonome de Baccarat,BACCARAT,+33 3 83 75 34 82,+33 3 83 75 51 74,54120,4 Rue Emile Gridel 54120 BACCARAT,976463,6822509,"6,739669","48,443925"
Brigade territoriale autonome de Frouard,FROUARD,+33 3 83 49 30 76,,54390,9 Rue Anatole France 54390 FROUARD,930727,6854791,"6,139069","48,751949"
Brigade territoriale autonome d'Uckange,UCKANGE,+33 3 82 86 17 17,+33 3 82 86 59 86,57270,14 Rue Jean Moulin 57270 UCKANGE,928581,6916131,"6,143104","49,303834"
Brigade territoriale autonome de Fameck,FAMECK,+33 3 82 59 63 40,+33 3 82 59 63 47,57290,50 Avenue de Metz 57290 FAMECK,926286,6916293,"6,111667","49,306106"
Brigade territoriale autonome de FarÃ©bersviller,FAREBERSVILLER,+33 3 87 00 49 00,+33 3 87 00 49 07,57450,2 Rue FranÃ§ois Rabelais 57450 FAREBERSVILLER,982248,6897931,"6,867733","49,118960"
Brigade territoriale autonome de Behren-lÃ¨s-Forbach,BEHREN LES FORBACH,+33 3 87 87 32 64,+33 3 87 84 95 04,57460,10 Rue du Petit Bois 57460 BEHREN LES FORBACH,986261,6904126,"6,926853","49,172810"
Brigade territoriale autonome de Faulquemont,FAULQUEMONT,+33 3 87 00 32 10,+33 3 87 00 32 19,57380,10 Rue de la Piscine 57380 FAULQUEMONT,962674,6889752,"6,594790","49,053816"
Brigade territoriale autonome de Creutzwald,CREUTZWALD,+33 3 87 93 00 02,+33 3 87 93 97 18,57150,18 Rue de Longeville 57150 CREUTZWALD,969243,6905694,"6,694761","49,194272"
Brigade territoriale autonome de MaiziÃ¨res-lÃ¨s-Metz,MAIZIERES LES METZ,+33 3 87 80 56 03,+33 3 87 80 15 55,57280,18 Grande Rue 57280 MAIZIERES LES METZ,930351,6905310,"6,161462","49,205998"
Brigade territoriale autonome d'Ars-sur-Moselle,ARS SUR MOSELLE,+33 3 87 60 63 93,+33 3 87 60 82 67,57130,76 Rue Georges Clemenceau 57130 ARS SUR MOSELLE,925235,6891079,"6,083696","49,079969"
Brigade territoriale autonome d'Amanvillers,AMANVILLERS,+33 3 87 53 42 47,+33 3 87 53 33 39,57865,1 Rue de la Justice 57865 AMANVILLERS,921687,6900578,"6,040174","49,166546"
Brigade territoriale autonome de Metz,METZ,+33 3 87 56 69 33,+33 3 87 56 69 48,57000,2 Rue Albert Bettannier 57000 METZ,933598,6894181,"6,199791","49,104846"
Brigade territoriale autonome de Varennes-sur-Allier,VARENNES SUR ALLIER,+33 4 70 45 00 28,+33 4 70 45 39 35,3150,4 Rue de la Gendarmerie 03150 VARENNES SUR ALLIER,730575,6579603,"3,397343","46,315639"
Brigade territoriale autonome de Montmarault,MONTMARAULT,+33 4 70 07 60 21,+33 4 70 07 72 25,3390,1 Route de Moulins 03390 MONTMARAULT,696863,6579945,"2,959230","46,319404"
Brigade territoriale autonome de Dompierre-sur-Besbre,DOMPIERRE SUR BESBRE,+33 4 70 43 76 00,+33 4 70 43 76 06,3290,271 Grande Rue 03290 DOMPIERRE SUR BESBRE,752467,6602401,"3,684400","46,519572"
Brigade territoriale autonome de Moulins,MOULINS,+33 4 70 35 57 00,,3000,Quartier Taguin 118 Rue de Paris 03000 MOULINS,724875,6608470,"3,324811","46,575806"
Brigade territoriale autonome de Besse-et-Saint-Anastaise,BESSE ET ST ANASTAISE,+33 4 73 79 50 02,+33 4 73 79 84 82,63610,Route des Lacs 63610 BESSE ET ST ANASTAISE,695291,6490557,"2,939687","45,514469"
Brigade territoriale autonome de Pont-du-ChÃ¢teau,PONT DU CHATEAU,+33 4 73 83 20 12,+33 4 73 83 81 92,63430,Avenue de Cournon 63430 PONT DU CHATEAU,718628,6521428,"3,239789","45,792218"
Brigade territoriale autonome de ChamaliÃ¨res,CHAMALIERES,+33 4 73 37 88 05,+33 4 73 37 92 74,63400,2 Avenue Fontmaure 63400 CHAMALIERES,704847,6519649,"3,062375","45,776436"
Brigade territoriale autonome de Romagnat,ROMAGNAT,+33 4 73 62 60 64,+33 4 73 62 73 54,63540,18 Avenue Jean Moulin 63540 ROMAGNAT,707932,6515192,"3,102001","45,736272"
Brigade territoriale autonome d'Ãvian-les-Bains,EVIAN LES BAINS,+33 4 50 75 01 06,+33 4 50 75 96 71,74500,8 Boulevard Jean JaurÃ¨s 74500 EVIAN LES BAINS,975261,6595052,"6,583887","46,399186"
Brigade territoriale autonome d'Abondance,ABONDANCE,+33 4 50 73 01 02,+33 4 50 73 01 71,74360,74360 ABONDANCE,987598,6580796,"6,735505","46,265806"
Brigade territoriale autonome de Saint-Julien-en-Genevois,ST JULIEN EN GENEVOIS,+33 4 50 49 20 44,+33 4 50 49 47 90,74160,4 Chemin de Certoux 74160 ST JULIEN EN GENEVOIS,937800,6565575,"6,081712","46,148221"
Brigade territoriale autonome de la Roche-sur-Foron,LA ROCHE SUR FORON,+33 4 50 03 00 15,+33 4 50 03 44 95,74800,523 Avenue Charles de Gaulle 74800 LA ROCHE SUR FORON,955554,6557703,"6,307260","46,070927"
Brigade territoriale autonome de Chamonix-Mont-Blanc,CHAMONIX MONT BLANC,+33 4 50 53 00 55,+33 4 50 55 38 26,74400,Caserne Guillermin 111 Rue de La Mollard 74400 CHAMONIX MONT BLANC,999510,6543319,"6,866167","45,923560"
Brigade territoriale autonome de Bonneville,BONNEVILLE,+33 4 50 97 10 39,+33 4 50 97 59 33,74130,789 Avenue de GenÃ¨ve 74130 BONNEVILLE,962733,6559602,"6,401112","46,085267"
Brigade territoriale autonome de ThÃ´nes,THONES,+33 4 50 02 00 24,+33 4 50 02 86 22,74230,Rue Saint-Blaise 74230 THONES,957220,6537003,"6,317547","45,884060"
Brigade territoriale autonome d'Annecy,ANNECY,+33 4 50 09 47 17,,74000,Quartier Dessaix 33 Avenue de la Plaine 74000 ANNECY,942560,6539748,"6,130073","45,914146"
Brigade territoriale autonome de Modane,MODANE,+33 4 79 05 00 17,,73500,Caserne Loutraz Rue de la Vanoise 73500 MODANE,987587,6462371,"6,664039","45,200594"
Brigade territoriale autonome de Lanslebourg-Mont-Cenis,LANSLEBOURG MONT CENIS,+33 4 79 05 90 17,+33 4 79 05 99 68,73480,91 Rue de l'Iseran 73480 LANSLEBOURG MONT CENIS,1004747,6472696,"6,888799","45,286070"
Brigade territoriale autonome de MoÃ»tiers,MOUTIERS,+33 4 79 24 00 15,+33 4 79 24 73 39,73600,251 Rue de la Sous-PrÃ©fecture 73600 MOUTIERS,976090,6493331,"6,535408","45,483800"
Brigade territoriale autonome de Bozel,BOZEL,+33 4 79 22 00 17,+33 4 79 22 15 48,73350,Rue des Ecoles 73350 BOZEL,985206,6489260,"6,649570","45,443447"
Brigade territoriale autonome de Bourg-Saint-Maurice,BOURG ST MAURICE,+33 4 79 07 04 25,+33 4 79 07 34 90,73700,318 Route d'Hauteville 73700 BOURG ST MAURICE,993174,6507981,"6,762786","45,608472"
Brigade territoriale autonome de Beaufort,BEAUFORT,+33 4 79 38 34 89,+33 4 79 38 78 77,73270,MontÃ©e La Roche 73270 BEAUFORT,977908,6519708,"6,573934","45,720341"
Brigade territoriale autonome d'Aime,AIME,+33 4 79 55 61 17,+33 4 79 55 75 57,73210,500 Avenue de la Tarentaise 73210 AIME,983843,6501442,"6,639333","45,553591"
Brigade territoriale autonome de Chindrieux,CHINDRIEUX,+33 4 79 54 20 17,+33 4 79 54 67 17,73310,79 Chemin des ChoÃ®tres 73310 CHINDRIEUX,920425,6527689,"5,839102","45,813165"
Brigade territoriale autonome du ChÃ¢telard,LE CHATELARD,+33 4 79 54 82 17,+33 4 79 54 99 87,73630,Route du Champet 73630 LE CHATELARD,943358,6514582,"6,127504","45,687422"
Brigade territoriale autonome de Challes-les-Eaux,CHALLES LES EAUX,+33 4 79 72 87 79,+33 4 79 72 42 18,73190,1950 Route Royale 73190 CHALLES LES EAUX,933135,6497886,"5,988137","45,540755"
Brigade territoriale autonome de ChambÃ©ry,CHAMBERY,+33 4 79 71 82 00,+33 4 79 71 83 38,73000,Caserne WoehrlÃ© 28 Rue de Sonnaz 73000 CHAMBERY,927152,6504426,"5,914614","45,601618"
Brigade territoriale autonome de PÃ©lussin,PELUSSIN,+33 4 74 87 60 01,,42410,2 Rue de la QuiÃ©tude 42410 PELUSSIN,831547,6481342,"4,682094","45,418891"
Brigade territoriale autonome d'AndrÃ©zieux-BouthÃ©on,ANDREZIEUX BOUTHEON,+33 4 77 55 02 52,,42160,Rue MoliÃ¨re 42160 ANDREZIEUX BOUTHEON,799406,6493490,"4,273695","45,533677"
Brigade territoriale autonome de Montbrison,MONTBRISON,+33 4 77 58 12 88,+33 4 77 96 69 20,42600,4 Place des Comtes de Forez 42600 MONTBRISON,783279,6501087,"4,068403","45,604232"
Brigade territoriale autonome de Saint-Ãtienne,ST ETIENNE,+33 4 77 92 81 00,+33 4 77 92 81 82,42000,16 Rue Claude Odde 42000 ST ETIENNE,808235,6485401,"4,384981","45,459510"
Brigade territoriale autonome de la VerpilliÃ¨re,LA VERPILLIERE,+33 4 74 95 50 17,+33 4 74 95 92 24,38290,358 Chemin du 1er Gua 38290 LA VERPILLIERE,867458,6506094,"5,149702","45,633865"
Brigade territoriale autonome de Roussillon,ROUSSILLON,+33 4 74 86 20 17,+33 4 74 29 86 41,38150,19 Rue Fernand LÃ©ger 38150 ROUSSILLON,841876,6476093,"4,812586","45,369580"
Brigade territoriale autonome de Pont-de-ChÃ©ruy,PONT DE CHERUY,+33 4 78 32 11 31,,38230,10 Rue des AubÃ©pines 38230 PONT DE CHERUY,869057,6519160,"5,174837","45,751084"
Brigade territoriale autonome de la Chapelle-sur-Erdre,LA CHAPELLE SUR ERDRE,+33 2 40 72 07 01,+33 2 40 72 92 47,44240,17 Avenue des PerriÃ¨res 44240 LA CHAPELLE SUR ERDRE,356623,6699848,"-1,547513","47,309940"
Brigade territoriale autonome de la Tour-du-Pin,LA TOUR DU PIN,+33 4 74 83 57 00,+33 4 74 83 57 03,38110,54 Rue Pierre Vincendon 38110 LA TOUR DU PIN,890255,6499302,"5,439485","45,566766"
Brigade territoriale autonome de Montalieu-Vercieu,MONTALIEU VERCIEU,+33 4 74 88 50 17,,38390,160 Grande Rue 38390 MONTALIEU VERCIEU,886667,6526872,"5,404268","45,815903"
Brigade territoriale autonome de CrÃ©mieu,CREMIEU,+33 4 74 90 40 17,+33 4 74 90 50 78,38460,Impasse des Jardins-du-ChÃ¢teau 38460 CREMIEU,874708,6516529,"5,246533","45,725977"
Brigade territoriale autonome de Bourgoin-Jallieu,BOURGOIN JALLIEU,+33 4 74 43 80 17,+33 4 37 03 35 13,38300,18 Rue de l'Etissey 38300 BOURGOIN JALLIEU,877069,6501994,"5,271501","45,594537"
Brigade territoriale autonome de Voreppe,VOREPPE,+33 4 76 50 22 17,+33 4 76 50 45 96,38340,55 Rue du Peuil 38340 VOREPPE,907764,6467716,"5,650238","45,277415"
Brigade territoriale autonome de Villard-de-Lans,VILLARD DE LANS,+33 4 76 95 11 23,+33 4 76 95 51 64,38250,162 Rue de La-Chapelle-en-Vercors 38250 VILLARD DE LANS,900551,6444644,"5,548798","45,071922"
Brigade territoriale autonome de Vif,VIF,+33 4 76 72 63 22,+33 4 76 72 79 58,38450,1 Avenue du 8 Mai 1945 38450 VIF,910782,6442944,"5,677994","45,053575"
Brigade territoriale autonome de Sassenage,SASSENAGE,+33 4 76 27 42 17,+33 4 76 27 87 39,38360,1 Rue LesdiguiÃ¨res 38360 SASSENAGE,909149,6460301,"5,664701","45,210266"
Brigade territoriale autonome de Saint-Laurent-du-Pont,ST LAURENT DU PONT,+33 4 76 55 20 17,+33 4 76 06 23 66,38380,1 Place du 19 Mars 1962 38380 ST LAURENT DU PONT,913822,6480262,"5,732990","45,388460"
Brigade territoriale autonome de Saint-ÃgrÃ¨ve,ST EGREVE,+33 4 76 75 30 93,+33 4 38 75 01 97,38120,12 Rue des Peupliers 38120 ST EGREVE,909683,6463816,"5,673015","45,241736"
Brigade territoriale autonome du Pont-de-Claix,LE PONT DE CLAIX,+33 4 76 98 04 38,+33 4 76 99 23 87,38800,7 Rue du 19 Mars 1962 38800 LE PONT DE CLAIX,912065,6452528,"5,698441","45,139426"
